method,n_queries,random_repeats,mean_similarity_top5,mean_unique_model_signatures,queries_with_duplicate_signatures,mean_intra_list_dissimilarity,replicate_sd_mean_similarity,replicate_sd_intra_list_dissimilarity
CBR top-5,1821,0,0.5563079626578803,4.633168588687535,610,0.42155414972086974,0.0,0.0
Deduplicación exacta,1821,0,0.5557102690829214,5.0,0,0.43734782649548354,0.0,0.0
MMR lambda=0.70,1821,0,0.5536417353102691,4.99725425590335,5,0.526472971220212,0.0,0.0
Aleatorio top-1 fijo,1821,100,0.53160055354201,4.877281713344316,216.95,0.4439274921501728,0.0006753630763703329,0.0012971898138369714
