query_index,facts_file_primary_no_default,task_primary_no_default,baseline_refs_primary_no_default,diverse_refs_primary_no_default,changed_order_primary_no_default,changed_reference_set_primary_no_default,top1_preserved_primary_no_default,baseline_top_similarity_primary_no_default,diverse_top_similarity_primary_no_default,baseline_mean_similarity_primary_no_default,diverse_mean_similarity_primary_no_default,baseline_unique_models_primary_no_default,diverse_unique_models_primary_no_default,baseline_has_duplicate_models_primary_no_default,diverse_has_duplicate_models_primary_no_default,baseline_intra_list_dissimilarity_primary_no_default,diverse_intra_list_dissimilarity_primary_no_default,facts_file_default_sync,task_default_sync,baseline_refs_default_sync,diverse_refs_default_sync,changed_order_default_sync,changed_reference_set_default_sync,top1_preserved_default_sync,baseline_top_similarity_default_sync,diverse_top_similarity_default_sync,baseline_mean_similarity_default_sync,diverse_mean_similarity_default_sync,baseline_unique_models_default_sync,diverse_unique_models_default_sync,baseline_has_duplicate_models_default_sync,diverse_has_duplicate_models_default_sync,baseline_intra_list_dissimilarity_default_sync,diverse_intra_list_dissimilarity_default_sync,facts_file_equal,task_equal,baseline_ranking_equal,baseline_top1_equal,baseline_refset_equal,baseline_top_similarity_diff_primary_minus_default,baseline_mean_similarity_diff_primary_minus_default,baseline_unique_models_diff_primary_minus_default,baseline_intra_list_dissimilarity_diff_primary_minus_default,diverse_ranking_equal,diverse_top1_equal,diverse_refset_equal,diverse_top_similarity_diff_primary_minus_default,diverse_mean_similarity_diff_primary_minus_default,diverse_unique_models_diff_primary_minus_default,diverse_intra_list_dissimilarity_diff_primary_minus_default
11,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_14cabde81b60.ttl,Fault identification,"252,210,48,50,49","252,210,212,216,246",True,True,True,0.601,0.601,0.5985999999999999,0.5955999999999999,5,5,0,0,0.4748623876765084,0.5775378957086275,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_14cabde81b60.ttl,Fault identification,"255,252,210,48,50","255,238,50,13,212",True,True,True,0.707,0.707,0.602,0.5992,5,5,0,0,0.5323131070378866,0.5991526888890994,True,True,False,False,False,-0.10599999999999998,-0.0034000000000000696,0.0,-0.05745071936137819,False,False,False,-0.10599999999999998,-0.0036000000000000476,0.0,-0.02161479318047199
12,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1a71ce029db3.ttl,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.591,0.591,0.5851999999999999,0.5851999999999999,5,5,0,0,0.3490736383442266,0.3655148148148148,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1a71ce029db3.ttl,One step future state forecast,"106,10,131,132,135","106,132,135,255,10",True,True,True,0.57,0.57,0.5654,0.5534,5,5,0,0,0.3490736383442266,0.4266049787492411,True,True,True,True,True,0.02100000000000002,0.01979999999999993,0.0,0.0,False,True,False,0.02100000000000002,0.03179999999999994,0.0,-0.06109016393442629
13,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1f647e26aadf.ttl,Fault identification,"255,210,48,50,49","255,216,13,201,246",True,True,True,0.527,0.527,0.5126,0.5102,5,5,0,0,0.5451870578084556,0.6176765447667087,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1f647e26aadf.ttl,Fault identification,"255,210,48,50,49","255,216,13,201,246",True,True,True,0.65,0.65,0.5356000000000001,0.5338,5,5,0,0,0.5451870578084556,0.6176765447667087,True,True,True,True,True,-0.123,-0.02300000000000013,0.0,0.0,True,True,True,-0.123,-0.023600000000000065,0.0,0.0
14,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22144ece04a0.ttl,Fault detection,"20,175,72,195,42","20,44,34,195,33",True,True,True,0.589,0.589,0.5835999999999999,0.5833999999999999,5,5,0,0,0.34420448679288984,0.5023265854420493,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22144ece04a0.ttl,Fault detection,"20,175,72,195,42","20,44,34,195,33",True,True,True,0.568,0.568,0.5640000000000001,0.5634,5,5,0,0,0.34420448679288984,0.5023265854420493,True,True,True,True,True,0.02100000000000002,0.01959999999999984,0.0,0.0,True,True,True,0.02100000000000002,0.019999999999999907,0.0,0.0
15,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22483bb7fa86.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22483bb7fa86.ttl,Remaining useful life estimation,"249,250,259,51,53","249,204,259,55,208",True,True,True,0.707,0.707,0.6478,0.6182000000000001,5,5,0,0,0.3493504005572971,0.5596527979358167,True,True,False,False,False,-0.13,-0.07080000000000009,-1.0,-0.06225879484500174,False,False,False,-0.13,-0.041200000000000125,0.0,-0.018484112962253718
16,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_247755c3ba72.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_247755c3ba72.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,249,255",True,True,True,0.559,0.559,0.559,0.5354,5,5,0,0,0.34907363834422656,0.45697810636094144,True,True,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0,False,True,False,0.017999999999999905,0.04159999999999997,0.0,-0.12843780135004818
17,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_29441e0fc052.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_29441e0fc052.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.559,0.559,0.559,0.559,5,5,0,0,0.4394110275689223,0.4859203463203463,True,True,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0
18,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_30b468dfe762.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_30b468dfe762.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,249",True,True,True,0.645,0.645,0.645,0.6314,5,5,0,0,0.34907363834422656,0.4007625272331155,True,True,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0,False,True,False,0.061999999999999944,0.0756,0.0,-0.07222222222222224
19,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_32c353e565f9.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_32c353e565f9.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,249",True,True,True,0.645,0.645,0.645,0.6314,5,5,0,0,0.34907363834422656,0.4007625272331155,True,True,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0,False,True,False,0.061999999999999944,0.0756,0.0,-0.07222222222222224
20,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_36823d5c6b0e.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_36823d5c6b0e.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,249",True,True,True,0.645,0.645,0.645,0.6314,5,5,0,0,0.34907363834422656,0.4007625272331155,True,True,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0,False,True,False,0.061999999999999944,0.0756,0.0,-0.07222222222222224
21,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_369f47a9c5e1.ttl,Remaining useful life estimation,"225,172,155,51,53","225,222,126,55,53",True,True,True,0.523,0.523,0.5146000000000001,0.5134000000000001,5,5,0,0,0.4250524064171123,0.43797631487286665,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_369f47a9c5e1.ttl,Remaining useful life estimation,"249,250,259,225,172","249,259,225,172,52",True,True,True,0.636,0.636,0.5876,0.5622,5,5,0,0,0.44223371647509574,0.4746666666666666,True,True,False,False,False,-0.11299999999999999,-0.07299999999999995,0.0,-0.017181310057983457,False,False,False,-0.11299999999999999,-0.048799999999999955,0.0,-0.03669035179379998
22,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_37204455217d.ttl,Fault detection,"209,211,230,191,19","209,42,211,215,72",True,True,True,0.516,0.516,0.5154,0.5119999999999999,5,5,0,0,0.48677655677655673,0.5960707847636602,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_37204455217d.ttl,Fault detection,"209,211,230,191,19","209,42,211,215,72",True,True,True,0.513,0.513,0.5124000000000001,0.5096,5,5,0,0,0.48677655677655673,0.5960707847636602,True,True,True,True,True,0.0030000000000000027,0.0029999999999998916,0.0,0.0,True,True,True,0.0030000000000000027,0.0023999999999998467,0.0,0.0
23,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_374ab1994bf9.ttl,Fault feature extraction,"32,253,198,229,190","32,190,229,198,235",True,True,True,0.532,0.532,0.5236,0.5187999999999999,5,5,0,0,0.6079609279609279,0.5967863247863248,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_374ab1994bf9.ttl,Fault feature extraction,"32,253,198,229,190","32,190,229,198,235",True,True,True,0.526,0.526,0.519,0.5152,5,5,0,0,0.6079609279609279,0.5967863247863248,True,True,True,True,True,0.006000000000000005,0.0045999999999999375,0.0,0.0,True,True,True,0.006000000000000005,0.0035999999999999366,0.0,0.0
24,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3945d25e6654.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3945d25e6654.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.559,0.559,0.559,0.559,5,5,0,0,0.4394110275689223,0.4859203463203463,True,True,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0
25,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_39a966494a3b.ttl,Remaining useful life estimation,"68,67,197,35,37","68,197,120,30,36",True,True,True,0.536,0.536,0.5312,0.5288,4,5,1,0,0.49052959188421974,0.5162971659919029,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_39a966494a3b.ttl,Remaining useful life estimation,"259,249,250,68,67","259,197,249,120,68",True,True,True,0.648,0.648,0.5968,0.5728,4,5,1,0,0.3154327485380117,0.5539091318038687,True,True,False,False,False,-0.11199999999999999,-0.06559999999999999,0.0,0.17509684334620806,False,False,False,-0.11199999999999999,-0.04399999999999993,0.0,-0.0376119658119658
