corpus_id,Year,Source title,Open Access,screening_confidence,screening_reason_category,pdf_recovered
paper-0082,2026,Journal of Manufacturing Processes,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0083,2026,Nanomaterials,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0085,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0086,2026,Tribology International,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0088,2026,IEEE Transactions on Power Electronics,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0089,2026,International Journal of Intelligent Engineering and Systems,All Open Access; Bronze Open Access,high,physical_asset_maintenance,True
paper-0090,2026,Advanced Engineering Informatics,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0091,2026,IEEE Photonics Technology Letters,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0092,2026,Digital Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0099,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0100,2026,Journal of Power Sources,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0101,2026,Applied Stochastic Models in Business and Industry,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0102,2026,Scientific Reports,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0103,2026,Journal of Tribology,All Open Access; Bronze Open Access,high,physical_asset_maintenance,False
paper-0104,2026,Machines,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0105,2026,Journal of Engineering and Technology for Industrial Applications,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0106,2026,Advanced Engineering Informatics,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0107,2026,Solar Energy,All Open Access; Green Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
paper-0108,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,medium,physical_asset_maintenance,True
paper-0109,2026,Maritime Transport Research,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0110,2026,Probabilistic Engineering Mechanics,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0111,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0112,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0114,2026,Ocean Engineering,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0115,2026,Microelectronics Reliability,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0116,2026,Electronics (Switzerland),All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0117,2026,Computers and Electrical Engineering,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0118,2026,Next Energy,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0120,2026,Egyptian Informatics Journal,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0121,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0122,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0123,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
