method,pool_size,top_k,lambda,keep_top1,weights,n_queries,mean_similarity,top1_similarity,ild_main_weights,unique_model_signatures,unique_model_types,unique_model_approaches,queries_with_duplicate_model_signature
CBR top-5,15,5,,True,main evaluation,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
Exact signature dedup,15,5,,True,main evaluation,1821,0.5557102690829214,0.5630340472267985,0.43734782649548354,5.0,2.544206479956068,1.644700713893465,0
MMR lambda=0.70,15,5,,True,main evaluation,1821,0.5536417353102691,0.5630340472267985,0.526472971220212,4.99725425590335,2.880834706205382,1.8962108731466227,5
Greedy max-sum lambda=0.70,15,5,,True,main evaluation,1821,0.5541506864360242,0.5630340472267985,0.5407506385163482,4.979681493684788,2.788577704557935,1.899505766062603,35
Lexical MAP-DPP,15,5,,True,main evaluation,1821,0.5540316309719935,0.5630340472267985,0.4981104659342727,5.0,3.0911587040087865,1.8901702361339923,0
